id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	top1_match	top1_rate	bytes_read
case_000	17	24	33.50259971618652	1.3959416548411052	0	0	15	0.625	34172043264
case_005	14	24	13.152275085449219	0.5480114618937174	1	14	22	0.9166666666666666	26577469440
case_010	26	24	28.59091567993164	1.191288153330485	1	1	19	0.7916666666666666	29946544128
case_015	22	24	22.77885627746582	0.9491190115610758	0	0	18	0.75	26166951936
case_020	18	24	13.026287078857422	0.5427619616190592	0	0	19	0.7916666666666666	29720051712
case_025	20	24	7.872333526611328	0.32801389694213867	1	1	22	0.9166666666666666	29125509120
case_030	23	24	14.286380767822266	0.5952658653259277	0	0	19	0.7916666666666666	28438953984
case_035	23	24	16.48328399658203	0.6868034998575846	0	0	20	0.8333333333333334	27504672768
case_040	21	24	28.488605499267578	1.1870252291361492	1	10	19	0.7916666666666666	33577500672
case_045	18	24	19.060606002807617	0.7941919167836508	0	0	19	0.7916666666666666	33910161408
case_050	27	24	19.254261016845703	0.8022608757019043	0	0	21	0.875	31255953408
case_055	25	24	25.85169219970703	1.0771538416544597	0	0	19	0.7916666666666666	30548164608
case_060	17	24	4.957300186157227	0.20655417442321777	1	19	23	0.9583333333333334	30611865600
case_065	15	24	10.614364624023438	0.44226519266764325	1	1	18	0.75	28502654976
case_070	24	24	4.970193862915039	0.2070914109547933	1	3	22	0.9166666666666666	29373235200
case_075	16	24	16.57280158996582	0.6905333995819092	1	6	22	0.9166666666666666	22953590784
case_080	13	24	26.601459503173828	1.1083941459655762	1	6	18	0.75	27271102464
case_085	18	24	12.544464111328125	0.5226860046386719	1	11	20	0.8333333333333334	30845435904
case_090	17	24	22.03755760192871	0.9182315667470297	0	0	17	0.7083333333333334	30342905856
case_099	22	24	13.575408935546875	0.5656420389811198	1	16	21	0.875	28184150016
